time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
0,3.902714319,5.271011089,2.233669799,3.819115986,0.010309216,-0.057776604,0.214566674,-0.163358963,60,0
1,3.988561749,4.966762296,1.676124053,1.278652859,-0.006465552,0.065238355,0.23923545,3.868177998,60,0
2,3.897451641,5.059517055,1.966495281,2.584912305,0.019847809,-0.038041584,0.248774043,1.361829219,60,0
3,3.982641236,5.060174891,2.485544384,2.720473865,0.009322465,0.00208629,0.251734296,1.790737052,72,0
4,3.865546659,5.080567782,1.384601294,1.193597988,-0.000216129,0.045832252,0.248445126,2.853139344,72,0
5,4.016190808,5.028598801,2.054017958,1.562936878,0.000770622,0.06688294,0.247129458,2.925501124,72,0
6,3.96224836,5.100302838,2.556779995,2.762261051,-0.00778122,-0.009096888,0.273113901,3.3280958,72,0
7,3.995140096,5.070700254,2.909832356,2.216889131,-0.003505299,-0.014688477,0.256996968,3.427099894,72,0
8,3.948762748,5.078594276,2.509234748,2.880383898,0.011295967,-0.038699418,0.256996968,1.529905827,72,0
9,3.967839955,5.037479576,2.578331648,1.658191782,-0.007123386,0.03728041,0.244498122,1.575296379,72,0
10,3.875743097,5.088461805,2.515157339,0.794481766,0.004717627,0.02083456,0.247129458,4.502988588,72,0
11,3.925080699,4.971367142,1.983604977,0.771120473,0.008006797,0.041556331,0.257983719,5.291403984,131,0
12,3.921791525,5.037808494,2.267889202,3.072045673,-0.000545046,-0.012714975,0.251405379,1.810143159,131,0
13,3.967839955,5.165099609,2.264434358,1.882427454,0.010309216,-0.027187323,0.252063213,3.844824866,131,0
14,3.839233272,4.922687341,2.503312157,2.727548073,0.008664631,-0.01764873,0.256996968,1.038832697,131,0
15,3.897451641,5.064121902,2.947342125,2.192211678,0.001428456,0.001099539,0.254036715,1.664761818,131,0
16,3.852718883,5.162468268,1.32537546,1.23061413,0.002744124,0.059975683,0.253049964,2.730782156,131,0
17,3.899425145,5.194373278,2.00170177,4.221853369,0.00767788,-0.076524874,0.253707798,1.627594191,131,0
18,3.899754063,4.997680548,2.425989445,3.341688405,0.001757373,-0.028502991,0.251734296,1.98315354,163,0
19,3.95106517,4.930252445,2.697112526,1.962053341,-0.006465552,-0.008767971,0.250747545,2.80807769,163,0
20,3.955341095,5.11938006,2.570763892,2.951784071,0.001099539,-0.016004145,0.248116209,1.013506087,163,0
21,3.974089385,5.068726748,2.112421254,2.846164464,-0.003505299,-0.032449995,0.230354691,2.206159329,163,0
22,3.908305914,5.133523517,2.660918904,4.196846788,0.013269469,-0.081129712,0.263575308,1.87625549,163,0
23,4.046122289,5.102934179,1.673820826,2.402792633,-0.010741473,0.023465896,0.262588557,1.99334997,163,0
24,3.905674575,4.95525018,2.07227927,2.888445208,0.006691129,0.007020046,0.302387514,3.421837218,174,0
25,3.923107195,4.992088949,2.396870042,2.232682701,-0.004820967,0.01754539,0.275087403,1.034227859,174,0
